200mm钢附甲板 I	6
C3-FTM酸	234
PPD富勒烯纤维	171
R.A.M. - 弹药科技	735
R.A.M. - 护盾科技	1096
R.A.M. - 星舰科技	6
R.A.M. - 武器科技	91
R.A.M. - 电子元件	1000
R.A.M. - 能源科技	920
R.A.M. - 装甲/船体科技	905
三钛合金	14960899
三钛合金条	1568
中型引力子立体炸弹 I	1
中型核心防御力场稳固装置 I	3
中型远程护盾回充增量器 I	4
乌克米超导体	78
乌鸦级	11
二硼硅	97
亚甲基富勒烯	171
人工神经网络	164
伐木者级	62
优化的放大装置解码器	3
优化的获取装置解码器	2
传信器	54
传导性热塑塑料	22
光子超材料	42000
共和舰队火尾鸡级	10
军团办公室	7
冰矿采集无人机 II	8
冲锋者级	12
冷却剂	1959
出故障的护盾发射器	5595
分裂者级	2
刺客级	5
加强型冰矿采集无人机	2
加强的防御控制台	145
加速装置解码器	63
单晶体超合金工字钢	46
双曲晶体管阵列	5
反物质反应堆组件	8
反破损快速反应无人机	18
受污染的纳米聚合体	2459
古斯塔斯NET共振器	11
合成神经键	552
同位聚合体	8707273
启示级	4
回旋者级	5
因卡萨斯级	7
培养基	339
基础型“冻脑”大脑加速器	2
堆砌的能源电路	7508
增压氧化剂	1745
处理装置解码器	31
多谱式涂层 I	52
大型F-S9覆盖式紧凑型护盾扩展装置	2
大型冰矿压缩装置 I	1
大型卫星矿石压缩装置 I	1
大型小行星矿石压缩装置 I	1
大型工业核心 I	1
太赫兹超材料	60000
妄想级	1
完好的装甲附甲	9
富勒二茂铁	594
富勒化合物	34
富勒烯层间石墨	351
对称装置解码器	43
小型护盾扩展装置 I	1
小型牵引光束 I	20
小鹰级	8
工业诱导力场发生器	1
帝国海军切割机级	5
广播节点	2
建筑模块	2345
引力子脉冲发生器	29
强化碳纤维	2902
强化舱隔壁 I	54
微型电子元件	164
微晶合金	108
微电路	162
恒定护盾发射器	3
惩罚者级	1
手性结构	348
托勒克斯级	2
执法者 - 护卫舰箱	1
扩充货柜舱 I	91
抑制型护盾通量线圈 D型	6
护盾回充器 I	7
持久型多谱式护盾增强器	2
损坏的人工神经网络	3575
损坏的无人机调制器	582
损毁的触发机关	48
接口电路	90
推进器控制台	110
推进装置控制台	23
放大装置解码器	385
数据核心 - 分子工程	293
数据核心 - 加达里星舰工程	30
数据核心 - 引力子物理	6
数据核心 - 机械工程	125
数据核心 - 核芯物理	3
数据核心 - 激光物理	71
数据核心 - 火箭科学	27
数据核心 - 电子工程	40
数据核心 - 电磁物理	36
数据核心 - 磁流体物理	117
数据核心 - 等离子物理	10
数据核心 - 纳米工程	285
数据核心 - 艾玛星舰工程	98
数据核心 - 量子物理	15
数据核心 - 高能物理	3
新汞合金	82
旗舰货柜舱	2
无人机伤害增效装置 I	50
无人机调制器	24
普通小行星采集晶体C型 I	11
晶体同位聚合体-10	88
晶状石英核岩	635127
有故障的电力泵	1852
机械元件	860
标准大气	650615
核能燃料	9925
氢同位素	394034
氢燃料块	13061
氢电池	10
氦同位素	293934
氦燃料块	20230
氧	4779
氧同位素	214130
氧燃料块	8504
氮燃料块	8157
水	348
汞	4210
洛伦兹流体	12
海燕级	1
涅槃 S	380000
液化臭氧	297456
湿件主机	1
火箭燃料	976
灼烧 S	532
烃类	26229
烧毁的逻辑电路	6840
烧毁的遥感探测处理器	10988
烧焦的微电路	9917
烧焦的接口电路	10538
热固性聚合物	444000
特里斯坦级	2
狂怒者级	10
生命保障备份装置	961
电力泵	54
电子元件	7
电容回充器 I	8
电容回充器 II	76
电容通量线圈 I	3
电磁发生器	60
病原体	339
短路的电容器控制台	1080
矮脚鸡级	1
石墨烯纳米带	504
硅酸盐	764420
硫酸	492
碳86环氧树脂	342
碳化晶体	224
碳化晶体附甲	143
碳化菲尔金属合成物附甲	52
碳化钛	4080000
碳化钨	4897
碳化钨附甲	893
移动式仓库	3
空间协调装置	22
空间站集装箱	62
等价装置解码器	20
等向性沉积指南	7
等离子体超材料	24900
米玛塔尔穿梭机	22
类晶体胶矿	32083482
紧凑型化合物	329
紧凑型导体	287
紧凑型电子元件	349
纳米体	342
纳米机械微处理器	91
纳米电子微处理器	61
纳米纤维内部构架 I	147
纳米纤维内部构架 II	95
纳米聚合体	25
纳维达斯级	1
线性护盾能量发射器	29
缠绕的能量管道	808
联邦海军彗星级	10
聚变推进器	22
聚合导体	3743
能源电路	121
能源管道	13
自动修复储藏装置密封	1930
自协调能源核心	19
茶隼级	2
莫尔石	30859
菲尔合金	458
菲尔合金碳化物	14440000
萨沙NET共振器	16
蒸发岩沉积物	213857
被污染的洛伦兹流体	1501
裂谷级	2
装甲附甲板	2081
触发机关	4
费米子冷凝物	36
超噬矿	488432
超导体	76
超导体轨道	55
超张力塑料	342
超新星诺克石	501897
超立方电容器单元	29
超级突触纤维	132
轧制钨合金	932
轴体神经链接增强器	4
迪波特钛合金附甲	52
逻辑电路	236
遥感探测处理器	86
酚合成物	349
采矿调查芯片组 I	10
重水	198064
金属富勒烯钪	117
金属富勒烯镧	171
钒	5846
钕	4208
钛	540
钨	169
钪	16675
钴	51
钷	11895
钷汞合金	440
铂	6044
铂锝合金	45000
铥	51
铥铪合金	108
铪	51
铬	540
铬化钛	97
锝	559
锶包合物	29273
镉	51
防御控制台	12450
陶瓷粉末	376
零度凝缩液	87
雷达感应器组	29
非线性超材料	504
魔符级	1
