任务ID,类别,槽位ID,任务类型,蓝图名称,产物,数量,开始时间(天),实际结束时间(天),交付时间(天),总时间(秒),实际结束时间(秒),交付时间(秒),合并任务数,价值(ISK)
0,manufacturing,0,manufacturing,定相等离子弹蓝图 L,定相等离子弹 L,96,0.0,1.0,2.0,86400.0,86400.0,172800.0,0,0
0,manufacturing,1,manufacturing,定相等离子弹蓝图 L,定相等离子弹 L,96,0.0,1.0,2.0,86400.0,86400.0,172800.0,0,0
0,manufacturing,2,manufacturing,定相等离子弹蓝图 L,定相等离子弹 L,96,0.0,1.0,2.0,86400.0,86400.0,172800.0,0,0
0,manufacturing,3,manufacturing,定相等离子弹蓝图 L,定相等离子弹 L,96,0.0,1.0,2.0,86400.0,86400.0,172800.0,0,0
0,manufacturing,4,manufacturing,定相等离子弹蓝图 L,定相等离子弹 L,96,0.0,1.0,2.0,86400.0,86400.0,172800.0,0,0
0,manufacturing,5,manufacturing,定相等离子弹蓝图 L,定相等离子弹 L,96,0.0,1.0,2.0,86400.0,86400.0,172800.0,0,0
0,manufacturing,6,manufacturing,定相等离子弹蓝图 L,定相等离子弹 L,96,0.0,1.0,2.0,86400.0,86400.0,172800.0,0,0
0,manufacturing,7,manufacturing,定相等离子弹蓝图 L,定相等离子弹 L,96,0.0,1.0,2.0,86400.0,86400.0,172800.0,0,0
0,manufacturing,8,manufacturing,定相等离子弹蓝图 L,定相等离子弹 L,96,0.0,1.0,2.0,86400.0,86400.0,172800.0,0,0
4,reaction,0,reaction,菲尔合金反应配方,菲尔合金,8,0.0,1.0,2.0,86400.0,86400.0,172800.0,0,17064.571428571428
5,reaction,1,reaction,陶瓷粉末反应配方,陶瓷粉末,8,0.0,1.0,2.0,86400.0,86400.0,172800.0,0,9069.333333333334
7,reaction,2,reaction,碳聚合物反应配方,碳聚合物,8,0.0,1.0,2.0,86400.0,86400.0,172800.0,0,0
7,reaction,3,reaction,碳聚合物反应配方,碳聚合物,3,0.0,0.375,1.0,32400.0,32400.0,86400.0,0,13047.099999999999
8,reaction,4,reaction,铂锝合金反应配方,铂锝合金,8,0.0,1.0,2.0,86400.0,86400.0,172800.0,0,0
8,reaction,5,reaction,铂锝合金反应配方,铂锝合金,3,0.0,0.375,1.0,32400.0,32400.0,86400.0,0,185130.0
11,reaction,6,reaction,碳聚合物反应配方,碳聚合物,4,0.0,0.5,1.0,43200.0,43200.0,86400.0,0,4744.4
12,reaction,7,reaction,铂锝合金反应配方,铂锝合金,4,0.0,0.5,1.0,43200.0,43200.0,86400.0,0,67320.0
17,reaction,8,reaction,碳聚合物反应配方,碳聚合物,8,0.0,1.0,2.0,86400.0,86400.0,172800.0,0,0
0,manufacturing,0,manufacturing,定相等离子弹蓝图 L,定相等离子弹 L,96,2.0,3.0,4.0,86400.0,259200.0,345600.0,0,0
0,manufacturing,1,manufacturing,定相等离子弹蓝图 L,定相等离子弹 L,96,2.0,3.0,4.0,86400.0,259200.0,345600.0,0,0
0,manufacturing,2,manufacturing,定相等离子弹蓝图 L,定相等离子弹 L,96,2.0,3.0,4.0,86400.0,259200.0,345600.0,0,0
0,manufacturing,3,manufacturing,定相等离子弹蓝图 L,定相等离子弹 L,96,2.0,3.0,4.0,86400.0,259200.0,345600.0,0,0
0,manufacturing,4,manufacturing,定相等离子弹蓝图 L,定相等离子弹 L,96,2.0,3.0,4.0,86400.0,259200.0,345600.0,0,0
0,manufacturing,5,manufacturing,定相等离子弹蓝图 L,定相等离子弹 L,96,2.0,3.0,4.0,86400.0,259200.0,345600.0,0,0
0,manufacturing,6,manufacturing,定相等离子弹蓝图 L,定相等离子弹 L,96,2.0,3.0,4.0,86400.0,259200.0,345600.0,0,0
0,manufacturing,7,manufacturing,定相等离子弹蓝图 L,定相等离子弹 L,96,2.0,3.0,4.0,86400.0,259200.0,345600.0,0,0
0,manufacturing,8,manufacturing,定相等离子弹蓝图 L,定相等离子弹 L,96,2.0,3.0,4.0,86400.0,259200.0,345600.0,0,0
