科波斯重型能量中和器 C型*	4
共和舰队大型护盾扩展装置*	11
帝国海军1600mm钢附甲板*	9
科尔500MN微型跃迁推进器 X型*	1
帝国海军无人机伤害增效装置*	2
缚魂脉冲干扰器*	1
科尔热能装甲增强器 X型*	1
吉斯特大型护盾回充增量器 X型*	1
科必伊小型能量中和器 A型*	3
吉斯特电磁护盾增强器 A型*	2
皮特姆中型远程护盾回充增量器 C型*	6
姐妹会延伸探针发射器*	3
姐妹会核心探针发射器*	3
加达里海军轻型快速导弹发射器*	1
吉斯塔姆50MN微型跃迁推进器 C型*	1
科尔动能装甲增强器 X型*	1
皮特电磁护盾增强器 C型*	1
加达里海军隐形装置*	2
森塔姆中型装甲维修器 C型*	1
科波姆中型能量中和器 C型*	1
加达里海军大型护盾扩展装置*	2
恐惧古斯塔斯隐形装置*	2
加强型采矿无人机*	5
吉斯迪伊5MN微型跃迁推进器 A型*	1
暗泽裔轻型熵能分解者*	1
萨沙爱国者多谱式电压薄膜*	1
磁力ECM II*	34
黑暗血袭者多谱式涂层*	2
加达里海军跃迁扰断器*	1
洛基防御 - 增强耐用装置*	1
洛基推进 - 间层纳米纤维*	1
主天使护盾回充增量增效器*	1
洛基核心 - 停滞光束驱动器*	1
帝国海军热能装甲增强器*	1
金鹏推进 - 拦截湮灭者*	1
加达里海军能源诊断系统*	1
科波斯重型掠能器 C型*	1
共和舰队小型电容器电池*	2
萨沙爱国者反应堆控制元件*	3
能源诊断系统 II*	38
皮特姆动能护盾增效器 A型*	1
信息战指挥脉冲波 II*	10
惯性稳定器 II*	72
主天使目标标记装置*	1
皮特热能护盾增强器 C型*	1
加达里海军雷神轻型导弹*	26789
信号畸变放大器 II*	13
联邦伤害增效剂IV*	1
黑暗血袭者反应堆控制元件*	2
共和舰队电磁脉冲弹 L*	14165
星际代理处‘调频’SB7药剂 III*	1
鞭挞狂乱鱼雷*	10689
大型EMP立体炸弹 II*	6
小型能量中和器 II*	10
中型低摩擦喷嘴接口 II*	1
中型锁定系统辅助控制器 II*	1
诱导力场发生器 I*	5
中型电容器控制电路 II*	1
弹道控制系统 II*	15
恐惧古斯塔斯多谱式ECM*	1
中型锁定系统稳定器 II*	1
轻型快速导弹发射器 II*	14
