物品名称	数量	原物品buy价	拆解物料总价	价值比%
J5b持久型跃迁扰频器*	4	18200.00	32596.24	179.10
小型抚慰视野型远程装甲维修器*	3	4004.00	9632.28	240.57
小型S95a视野型远程护盾回充增量器*	3	44000.00	93600.21	212.73
尖端型劲弩鱼雷发射器*	9	25250.00	43371.10	171.77
F-89紧凑型信号放大器*	3	1047.00	7173.88	685.18
四联氟化锂抑制型500MN微型跃迁推进器*	1	626000.00	1242059.58	198.41
冷气持久型50MN微型跃迁推进器*	2	8001.00	16723.14	209.01
Y-S8紧凑型100MN加力燃烧器*	1	160400.00	304754.52	190.00
1MN加力燃烧器 I*	1	12240.00	14870.26	121.49
800mm重型侦查员频射加农炮 I*	6	326400.00	745321.54	228.35
劲弩紧凑型轻型导弹发射器*	51	5763.00	6459.68	112.09
重型小鬼紧凑型能量中和器*	6	260400.00	522311.71	200.58
小型小鬼紧凑型能量中和器*	49	8451.00	15676.72	185.50
X5持久型停滞缠绕光束*	6	7942.00	11519.18	145.04
重型调制型能量光束 I*	6	129200.00	146036.36	113.03
增强模式超级中子加速器 I*	8	502600.00	949896.74	189.00
大型F-S9覆盖式紧凑型护盾扩展装置*	8	58000.00	64316.13	110.89
紧凑型动能护盾增效器*	3	5010.00	6403.90	127.82
超大型清澈防御持久型护盾回充增量器*	2	197800.00	387717.30	196.01
中型紧凑型铅酸电容器电池*	3	18000.00	24586.76	136.59
